chaser,step,scene,duration_ms,beats
disco_funk-ice_palace-mirrorball_peak,11,par_2_pink,,1
disco_funk-ice_palace-mirrorball_peak,12,par_1_pink,,1
disco_funk-ice_palace-mirrorball_peak,13,par_4_pink,,1
disco_funk-ice_palace-mirrorball_peak,14,par_3_pink,,1
disco_funk-ice_palace-mirrorball_peak,15,par_2_pink,,1
disco_funk-ice_palace-mirrorball_peak,16,par_1_pink,,1
disco_funk-ice_palace-mirrorball_peak,17,par_all_cyan,,1
disco_funk-ice_palace-mirrorball_peak,18,par_13_cyan,,1
disco_funk-ice_palace-mirrorball_peak,19,par_24_pink,,1
disco_funk-ice_palace-mirrorball_peak,20,par_all_off,,1
disco_funk-ice_palace-mirrorball_peak,21,par_all_cyan,,1
disco_funk-ice_palace-mirrorball_peak,22,par_13_cyan,,1
disco_funk-ice_palace-mirrorball_peak,23,par_24_pink,,1
disco_funk-ice_palace-mirrorball_peak,24,par_all_off,,1
disco_funk-ice_palace-mirrorball_peak,25,par_13_cyan,,1
disco_funk-ice_palace-mirrorball_peak,26,par_24_pink,,1
disco_funk-ice_palace-mirrorball_peak,27,par_13_cyan,,1
disco_funk-ice_palace-mirrorball_peak,28,par_24_warm_white,,1
disco_funk-ice_palace-mirrorball_peak,29,par_13_cyan,,1
disco_funk-ice_palace-mirrorball_peak,30,par_24_pink,,1
disco_funk-ice_palace-mirrorball_peak,31,par_13_cyan,,1
disco_funk-ice_palace-mirrorball_peak,32,par_24_warm_white,,1
disco_funk-ice_palace-mirrorball_peak,33,par_14_cyan,,1
disco_funk-ice_palace-mirrorball_peak,34,par_23_pink,,1
disco_funk-ice_palace-mirrorball_peak,35,par_14_warm_white,,1
disco_funk-ice_palace-mirrorball_peak,36,par_23_pink,,1
disco_funk-ice_palace-mirrorball_peak,37,par_14_cyan,,1
disco_funk-ice_palace-mirrorball_peak,38,par_23_pink,,1
disco_funk-ice_palace-mirrorball_peak,39,par_14_warm_white,,1
disco_funk-ice_palace-mirrorball_peak,40,par_23_pink,,1
disco_funk-ice_palace-mirrorball_peak,41,par_12_cyan,,1
disco_funk-ice_palace-mirrorball_peak,42,par_34_pink,,1
disco_funk-ice_palace-mirrorball_peak,43,par_all_warm_white,,1
disco_funk-ice_palace-mirrorball_peak,44,par_all_off,,1
disco_funk-ice_palace-mirrorball_peak,45,par_12_cyan,,1
